player_x,rock_x,rock_y,dx,rock_speed,action
0.38,0.116,0.265,-0.264,0.7,2
0.392,0.116,0.27666666666666667,-0.276,0.7,2
0.404,0.116,0.28833333333333333,-0.288,0.7,2
0.416,0.116,0.3,-0.3,0.7,2
0.428,0.116,0.31166666666666665,-0.312,0.7,2
0.44,0.116,0.3233333333333333,-0.324,0.7,2
0.452,0.116,0.335,-0.336,0.7,2
0.464,0.116,0.3466666666666667,-0.348,0.7,2
0.476,0.116,0.35833333333333334,-0.36,0.7,2
0.488,0.116,0.37,-0.372,0.7,2
0.5,0.116,0.38166666666666665,-0.384,0.7,2
0.512,0.116,0.3933333333333333,-0.396,0.7,2
0.524,0.116,0.405,-0.408,0.7,2
0.536,0.116,0.4166666666666667,-0.42,0.7,2
0.548,0.116,0.42833333333333334,-0.432,0.7,2
0.56,0.116,0.44,-0.444,0.7,2
0.572,0.116,0.45166666666666666,-0.456,0.7,2
0.584,0.116,0.4633333333333333,-0.468,0.7,2
0.596,0.116,0.475,-0.48,0.7,2
0.608,0.116,0.4866666666666667,-0.492,0.7,2
0.62,0.116,0.49833333333333335,-0.504,0.7,2
0.632,0.116,0.51,-0.516,0.7,2
0.644,0.116,0.5216666666666666,-0.528,0.7,2
0.656,0.116,0.5333333333333333,-0.54,0.7,2
0.668,0.116,0.545,-0.552,0.7,2
0.68,0.116,0.5566666666666666,-0.564,0.7,2
0.692,0.116,0.5683333333333334,-0.576,0.7,2
0.704,0.116,0.58,-0.588,0.7,2
0.716,0.116,0.5916666666666667,-0.6,0.7,2
0.728,0.116,0.6033333333333334,-0.612,0.7,2
0.74,0.116,0.615,-0.624,0.7,2
0.752,0.116,0.6266666666666667,-0.636,0.7,2
0.764,0.116,0.6383333333333333,-0.648,0.7,2
0.776,0.116,0.65,-0.66,0.7,2
0.788,0.116,0.6616666666666666,-0.672,0.7,2
0.8,0.116,0.6733333333333333,-0.684,0.7,2
0.8,0.116,0.685,-0.684,0.7,1
0.8,0.116,0.6966666666666667,-0.684,0.7,1
0.8,0.116,0.7083333333333334,-0.684,0.7,1
0.8,0.116,0.72,-0.684,0.7,1
0.8,0.116,0.7316666666666667,-0.684,0.7,1
0.8,0.116,0.7433333333333333,-0.684,0.7,1
0.8,0.116,0.755,-0.684,0.7,1
0.8,0.116,0.7666666666666667,-0.684,0.7,1
0.8,0.116,0.7783333333333333,-0.684,0.7,1
0.8,0.116,0.79,-0.684,0.7,1
0.8,0.116,0.8016666666666666,-0.684,0.7,1
0.788,0.116,0.8133333333333334,-0.672,0.7,0
0.776,0.116,0.825,-0.66,0.7,0
0.764,0.116,0.8366666666666667,-0.648,0.7,0
0.752,0.116,0.8483333333333334,-0.636,0.7,0
0.74,0.116,0.86,-0.624,0.7,0
0.728,0.116,0.8716666666666667,-0.612,0.7,0
0.716,0.116,0.8833333333333333,-0.6,0.7,0
0.704,0.116,0.895,-0.588,0.7,0
0.692,0.116,0.9066666666666666,-0.576,0.7,0
0.692,0.116,0.9183333333333333,-0.576,0.7,1
0.692,0.116,0.93,-0.576,0.7,1
0.692,0.116,0.9416666666666667,-0.576,0.7,1
0.692,0.116,0.9533333333333334,-0.576,0.7,1
0.692,0.116,0.965,-0.576,0.7,1
0.692,0.116,0.9766666666666667,-0.576,0.7,1
0.692,0.116,0.9883333333333333,-0.576,0.7,1
0.692,0.116,1.0,-0.576,0.7,1
0.692,0.116,1.0116666666666667,-0.576,0.7,1
0.692,0.95,-0.04,0.258,0.6,1
0.692,0.95,-0.03,0.258,0.6,1
0.692,0.95,-0.02,0.258,0.6,1
0.68,0.95,-0.01,0.27,0.6,0
0.668,0.95,0.0,0.282,0.6,0
0.656,0.95,0.01,0.294,0.6,0
0.644,0.95,0.02,0.306,0.6,0
0.632,0.95,0.03,0.318,0.6,0
0.62,0.95,0.04,0.33,0.6,0
0.608,0.95,0.05,0.342,0.6,0
0.596,0.95,0.06,0.354,0.6,0
0.584,0.95,0.07,0.366,0.6,0
0.572,0.95,0.08,0.378,0.6,0
