car_x,obstacle_x,obstacle_y,lane_delta,obstacle_speed,obstacle_type,action
0.548,0.26,0.7061538461538461,-0.5,0.5,0,1
0.548,0.26,0.7153846153846154,-0.5,0.5,0,1
0.562,0.26,0.7246153846153847,-0.5,0.5,0,2
0.576,0.26,0.7338461538461538,-0.5,0.5,0,2
0.59,0.26,0.7430769230769231,-0.5,0.5,0,2
0.604,0.26,0.7523076923076923,-0.5,0.5,0,2
0.618,0.26,0.7615384615384615,-0.5,0.5,0,2
0.632,0.26,0.7707692307692308,-1.0,0.5,0,2
0.646,0.26,0.78,-1.0,0.5,0,2
0.66,0.26,0.7892307692307692,-1.0,0.5,0,2
0.674,0.26,0.7984615384615384,-1.0,0.5,0,2
0.688,0.26,0.8076923076923077,-1.0,0.5,0,2
0.702,0.26,0.816923076923077,-1.0,0.5,0,2
0.702,0.26,0.8261538461538461,-1.0,0.5,0,1
0.702,0.26,0.8353846153846154,-1.0,0.5,0,1
0.702,0.26,0.8446153846153847,-1.0,0.5,0,1
0.702,0.26,0.8538461538461538,-1.0,0.5,0,1
0.702,0.26,0.8630769230769231,-1.0,0.5,0,1
0.702,0.26,0.8723076923076923,-1.0,0.5,0,1
0.702,0.26,0.8815384615384615,-1.0,0.5,0,1
0.702,0.26,0.8907692307692308,-1.0,0.5,0,1
0.702,0.26,0.9,-1.0,0.5,0,1
0.702,0.26,0.9092307692307692,-1.0,0.5,0,1
0.702,0.26,0.9184615384615384,-1.0,0.5,0,1
0.688,0.26,0.9276923076923077,-1.0,0.5,0,0
0.674,0.26,0.936923076923077,-1.0,0.5,0,0
0.66,0.26,0.88,-1.0,0.75,0,0
0.646,0.26,0.8938461538461538,-1.0,0.75,0,0
0.632,0.26,0.9076923076923077,-1.0,0.75,0,0
0.618,0.26,0.9215384615384615,-0.5,0.75,0,0
0.604,0.26,0.9353846153846154,-0.5,0.75,0,0
0.59,0.26,0.8061538461538461,-0.5,0.75,1,0
0.576,0.26,0.82,-0.5,0.75,1,0
0.562,0.26,0.8338461538461538,-0.5,0.75,1,0
0.548,0.26,0.8476923076923077,-0.5,0.75,1,0
0.534,0.26,0.8615384615384616,-0.5,0.75,1,0
0.52,0.26,0.8753846153846154,-0.5,0.75,1,0
0.506,0.26,0.8892307692307693,-0.5,0.75,1,0
0.492,0.26,0.9030769230769231,-0.5,0.75,1,0
0.478,0.26,0.916923076923077,-0.5,0.75,1,0
0.464,0.26,0.9307692307692308,-0.5,0.75,1,0
0.45,0.26,-0.26153846153846155,-0.5,0.5833333333333334,1,0
0.436,0.26,-0.25076923076923074,-0.5,0.5833333333333334,1,0
0.422,0.26,-0.24,-0.5,0.5833333333333334,1,0
0.408,0.26,-0.22923076923076924,-0.5,0.5833333333333334,1,0
0.408,0.26,-0.21846153846153846,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.2076923076923077,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.19692307692307692,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.18615384615384614,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.1753846153846154,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.1646153846153846,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.15384615384615385,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.14307692307692307,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.13230769230769232,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.12153846153846154,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.11076923076923077,-0.5,0.5833333333333334,1,1
0.408,0.26,-0.1,-0.5,0.5833333333333334,1,1
0.394,0.26,-0.08923076923076922,-0.5,0.5833333333333334,1,0
0.38,0.26,-0.07846153846153846,-0.5,0.5833333333333334,1,0
0.366,0.26,-0.06769230769230769,0.0,0.5833333333333334,1,0
0.352,0.26,-0.05692307692307692,0.0,0.5833333333333334,1,0
0.338,0.26,-0.046153846153846156,0.0,0.5833333333333334,1,0
0.324,0.26,-0.03538461538461538,0.0,0.5833333333333334,1,0
0.31,0.26,-0.024615384615384615,0.0,0.5833333333333334,1,0
0.296,0.26,-0.013846153846153847,0.0,0.5833333333333334,1,0
0.282,0.26,-0.003076923076923077,0.0,0.5833333333333334,1,0
0.268,0.26,0.007692307692307693,0.0,0.5833333333333334,1,0
0.254,0.26,0.018461538461538463,0.0,0.5833333333333334,1,0
0.24,0.26,0.02923076923076923,0.0,0.5833333333333334,1,0
0.226,0.26,0.04,0.0,0.5833333333333334,1,0
0.212,0.26,0.05076923076923077,0.0,0.5833333333333334,1,0
0.198,0.26,0.06153846153846154,0.0,0.5833333333333334,1,0
0.198,0.26,0.07230769230769231,0.0,0.5833333333333334,1,0
0.198,0.26,0.08615384615384615,0.0,0.8333333333333334,1,0
0.198,0.26,0.10153846153846154,0.0,0.8333333333333334,1,0
0.198,0.26,0.11692307692307692,0.0,0.8333333333333334,1,0
0.198,0.26,0.13230769230769232,0.0,0.8333333333333334,1,0
0.198,0.26,0.1476923076923077,0.0,0.8333333333333334,1,1
0.198,0.26,0.16307692307692306,0.0,0.8333333333333334,1,1
0.198,0.26,0.17846153846153845,0.0,0.8333333333333334,1,1
0.198,0.26,0.19384615384615383,0.0,0.8333333333333334,1,1
0.198,0.26,0.20923076923076922,0.0,0.8333333333333334,1,1
0.198,0.26,0.2246153846153846,0.0,0.8333333333333334,1,1
0.198,0.26,0.24,0.0,0.8333333333333334,1,1
0.198,0.26,0.2553846153846154,0.0,0.8333333333333334,1,1
0.198,0.26,0.27076923076923076,0.0,0.8333333333333334,1,1
0.198,0.26,0.28615384615384615,0.0,0.8333333333333334,1,1
0.198,0.26,0.30153846153846153,0.0,0.8333333333333334,1,1
0.212,0.26,0.3169230769230769,0.0,0.8333333333333334,1,2
0.226,0.26,0.3323076923076923,0.0,0.8333333333333334,1,2
0.24,0.26,0.3476923076923077,0.0,0.8333333333333334,1,2
0.254,0.26,0.3630769230769231,0.0,0.8333333333333334,1,2
0.268,0.26,0.37846153846153846,0.0,0.8333333333333334,1,2
0.282,0.26,0.39384615384615385,0.0,0.8333333333333334,1,2
0.296,0.26,0.40923076923076923,0.0,0.8333333333333334,1,2
0.31,0.26,0.4246153846153846,0.0,0.8333333333333334,1,2
0.324,0.26,0.44,0.0,0.8333333333333334,1,2
0.338,0.26,0.4553846153846154,0.0,0.8333333333333334,1,2
