model_type,feature_set,features,n_features_before_encoding,validation_size,architecture,hidden_layers,hidden_nodes,learning_rate,epochs,train_rows,validation_rows,test_rows,train_seconds,validation_r2,validation_mae,validation_rmse,test_r2,test_mae,test_rmse
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x64_32,2,"(64, 32)",0.001,300,1875,469,586,0.6586493340000743,0.8348661390725156,19842.719766148803,28317.723672141296,0.8686534777781941,21726.378595084294,32451.148476924045
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x64_32,2,"(64, 32)",0.001,800,1875,469,586,0.6562956249981653,0.8348661390725156,19842.719766148803,28317.723672141296,0.8686534777781941,21726.378595084294,32451.148476924045
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x64_32,2,"(64, 32)",0.0003,300,1875,469,586,1.1030299169942737,0.8402032589046154,19264.006907373172,27856.35131733624,0.8695114856947483,21503.859579035707,32344.982885685655
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x64_32,2,"(64, 32)",0.0003,800,1875,469,586,1.1039456250000512,0.8402032589046154,19264.006907373172,27856.35131733624,0.8695114856947483,21503.859579035707,32344.982885685655
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x128_64,2,"(128, 64)",0.01,300,1875,469,586,0.5426569999981439,0.833024865337769,19723.623320687548,28475.16001085006,0.8397615147252947,22619.781062960836,35842.98726481942
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x128_64,2,"(128, 64)",0.01,800,1875,469,586,0.5418501669919351,0.833024865337769,19723.623320687548,28475.16001085006,0.8397615147252947,22619.781062960836,35842.98726481942
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x128_64,2,"(128, 64)",0.001,300,1875,469,586,1.0190293329942506,0.8258210572509096,20044.49170431968,29082.925919026668,0.8664362901645578,21617.868917812273,32723.897161486042
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x128_64,2,"(128, 64)",0.001,800,1875,469,586,1.0181952499988256,0.8258210572509096,20044.49170431968,29082.925919026668,0.8664362901645578,21617.868917812273,32723.897161486042
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x128_64,2,"(128, 64)",0.0003,300,1875,469,586,1.4365533749951283,0.8313575517300908,19830.31366770986,28616.974810569627,0.8755296605101142,21667.91618897946,31590.29776429023
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x128_64,2,"(128, 64)",0.0003,800,1875,469,586,1.4357628330035368,0.8313575517300908,19830.31366770986,28616.974810569627,0.8755296605101142,21667.91618897946,31590.29776429023
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,3x128_64_32,3,"(128, 64, 32)",0.01,300,1875,469,586,0.3433319589967141,0.8300164520935114,20017.488305127936,28730.53523908568,0.860123301203022,21963.301014105073,33488.32837007423
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,3x128_64_32,3,"(128, 64, 32)",0.01,800,1875,469,586,0.34193833399331197,0.8300164520935114,20017.488305127936,28730.53523908568,0.860123301203022,21963.301014105073,33488.32837007423
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,3x128_64_32,3,"(128, 64, 32)",0.001,300,1875,469,586,1.1084278339985758,0.8224090549090082,20506.25649359712,29366.398052382134,0.8666643808737489,22006.916802909214,32695.943437099046
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,3x128_64_32,3,"(128, 64, 32)",0.001,800,1875,469,586,1.0981094169983407,0.8224090549090082,20506.25649359712,29366.398052382134,0.8666643808737489,22006.916802909214,32695.943437099046
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,3x128_64_32,3,"(128, 64, 32)",0.0003,300,1875,469,586,1.6883479579992127,0.8213963349377371,20363.485524472475,29450.010592197752,0.8657086032550737,22063.11855198722,32812.91986567177
